B,D,BN,ms_quantize_fwd,ms_quantize_fwd_mm,ms_cdist_compiled,speedup_fwd_vs_mm,speedup_fwd_vs_cdist,speedup_mm_vs_cdist
32,64,8192,0.020181576535105706,0.01623442687429069,0.018682727494954386,0.8044181705057097,0.9257318159686839,1.1508091809844483
32,128,8192,0.03148185994562715,0.02099181783639572,0.020911454180763525,0.6667909034806407,0.6642382062838743,0.9961716676345743
32,256,8192,0.05367344532565898,0.023836546069519085,0.022692754524094718,0.44410314867795253,0.4227929544378677,0.952015214700632
256,64,65536,0.020927272356030615,0.016745887717671607,0.020264363043348898,0.8001944750743373,0.968323186060572,1.2101098123310783
256,128,65536,0.031921201940044504,0.021206363358280876,0.02240509103814309,0.6643347389647606,0.7018874502352731,1.0565267914922396
256,256,65536,0.05394031100733551,0.023767455110580406,0.028908763479204538,0.4406251033174094,0.5359398738964102,1.2163171591028021
1024,64,262144,0.02110309060662985,0.017562786870625582,0.02486820610506194,0.8322376659420669,1.1784153595610882,1.4159601370927608
1024,128,262144,0.03325618612904881,0.024499637106518177,0.030015075331650716,0.7366941299717494,0.9025411156642814,1.2251232620774266
1024,256,262144,0.05588915692754539,0.0332176648080349,0.04078690799606311,0.5943490049616998,0.7297821301713173,1.2278680103424162
4096,64,1048576,0.0242773949354887,0.023516545950604432,0.04782523175139399,0.9686601883395627,1.9699490772579993,2.0336843621443808
4096,128,1048576,0.04110933234642821,0.037655071095498496,0.058615133749792374,0.9159737934486344,1.425835215610967,1.556633198252003
4096,256,1048576,0.09157360629860763,0.05847300716235252,0.0853296193423905,0.638535594761671,0.9318145565234547,1.459299315758972
16384,64,4194304,0.0595599528966528,0.04781841548413215,0.12795833863267964,0.8028618754468405,2.1483955646289763,2.675921762299731
16384,128,4194304,0.11563094925919645,0.10890971390264374,0.18301495477773141,0.9418733877079354,1.5827506039709842,1.680428202587435
16384,256,4194304,0.3251292632337202,0.18736957655335865,0.27736996480675996,0.5762925634247429,0.8531067368346099,1.4803361885581847
32768,64,8388608,0.09937403697159983,0.07996700347765633,0.24799466511559864,0.8047072043627467,2.49556798408495,3.101212429260165
32768,128,8388608,0.20182566867390675,0.19694933383553118,0.3321251897958287,0.9758388768365517,1.6456043078070965,1.6863483786808868
32768,256,8388608,0.566717169019911,0.34317389679582494,0.5002546658118566,0.6055470269046461,0.882723681509428,1.4577293625263363
65536,64,16777216,0.17401416106618567,0.1437740279999498,0.47984849281457004,0.8262202749422551,2.7575255362812765,3.3375186011672264
65536,128,16777216,0.3529328568173306,0.3678490188988772,0.6273871064186096,1.0422634554800514,1.7776387046427071,1.7055560139772459
65536,256,16777216,1.0779372942252237,0.6436209657362529,0.9701609656666265,0.5970857202773199,0.9000161427422712,1.5073482955248931
