B,D,BN,ms_quantize_fwd,ms_quantize_fwd_mm,ms_cdist_compiled,ms_faiss_search,speedup_fwd_vs_mm,speedup_fwd_vs_cdist,speedup_mm_vs_cdist,speedup_fwd_vs_faiss,speedup_mm_vs_faiss
32,64,4096,0.012915595570641957,0.014318022615370456,0.01962545390283181,0.0360677437257697,1.1085840011835235,1.5195159832537515,1.3706818622959713,2.7925730198423198,2.5190450311938206
32,128,4096,0.01852348050113115,0.017396429679908995,0.022124617184911457,0.03823077687445809,0.9391555587432217,1.194409289526361,1.271790683030956,2.0639089328878284,2.1976220165802482
32,256,4096,0.02973646045416251,0.020241817586462606,0.026181516783504652,0.04159736387869891,0.6807070269060607,0.8804516873775999,1.2934370479168047,1.3988673582324795,2.055021180831041
256,64,32768,0.013116584222219634,0.014570606814885742,0.020735635930164295,0.03697694250765969,1.110853753388247,1.580871633869274,1.4231140949449124,2.8190984696320824,2.5377764273951176
256,128,32768,0.01842205705236917,0.01772296643198541,0.022802651694842746,0.03901477517450557,0.9620514354940696,1.237790743456101,1.2866159726900914,2.1178294619106106,2.201368226037708
256,256,32768,0.030021364429179645,0.02108490877700123,0.02805296544670716,0.04111791618124268,0.70233012982273,0.9344333936881538,1.330476016918151,1.369621833086227,1.9501111726929943
1024,64,131072,0.013858696670805136,0.01525626935881008,0.025617371052503585,0.04668048284499042,1.1008444532124788,1.8484689910609984,1.6791373074250455,3.368316945945428,3.0597573854471647
1024,128,131072,0.019883569961382172,0.02049608990592135,0.02880758425016279,0.04794517173091086,1.0308053305180516,1.4488134829969075,1.4055160951377481,2.4112959505777822,2.3392350419510715
1024,256,131072,0.0320935950673729,0.027067976987787654,0.03506548906308274,0.05354326339495694,0.843407444101069,1.092600844170653,1.2954602805707773,1.6683473223412817,1.9781036247782473
4096,64,524288,0.01642395477047411,0.01861568398268546,0.04238607002531781,0.10798582484658133,1.133447104722396,2.580746879644156,2.2769010295158263,6.574897846206387,5.80079813059888
4096,128,524288,0.02721287346519958,0.02696978267814432,0.053914023720356356,0.1157651907588179,0.9910670665717779,1.9811955466335738,1.9990529535874613,4.254059789270728,4.292403544379736
4096,256,524288,0.055548144751284494,0.039296746972882955,0.07576400325633585,0.1339291095112761,0.7074358135421662,1.3639339998764566,1.9279968214319987,2.411045591368362,3.4081474887398437
16384,64,2097152,0.03745141668975005,0.03765079220973475,0.11813525607188542,0.3629837030613864,1.00532357752008,3.1543601421149297,3.137656584058306,9.692122091625178,9.640798553171892
16384,128,2097152,0.070958529284761,0.06710946378184528,0.15599458832556093,0.40112963058416123,0.9457561262653967,2.198390946062945,2.324479731095113,5.653015002247342,5.977243863669142
16384,256,2097152,0.18912400086136424,0.10878316840374624,0.2279637818650682,0.46985699857274693,0.5751949404004457,1.2053667478839722,2.0955795387296114,2.4843858866816784,4.319206780490925
32768,64,4194304,0.059305832732513726,0.0512586969595689,0.22510610694109007,0.7123622588622265,0.8643112253521553,3.795682423959596,4.391569046685795,12.011672815980582,13.89739304969288
32768,128,4194304,0.12054654452579701,0.10625080391764641,0.297940334526159,0.7768543995916843,0.881408955649564,2.4715792202770244,2.804123108161032,6.444435239912142,7.311515498685675
32768,256,4194304,0.3235130457774453,0.1861598837549669,0.4332414114592122,0.909352595236764,0.5754323857561902,1.3391775605774257,2.327254415508051,2.8108683934258902,4.884793527448159
65536,64,8388608,0.10087968721505135,0.08113172437463488,0.4634058963168751,1.3732177495956421,0.8042424259472719,4.593649218291138,5.711771811690408,13.612430683575283,16.925780392077634
65536,128,8388608,0.19865623513857525,0.1870642915694383,0.5947431736978991,1.5346153403321903,0.9416482268424606,2.9938308922598287,3.1793517015358876,7.724979481573781,8.20367867890244
65536,256,8388608,0.5923199996180918,0.33210666190113936,0.8548245681843287,1.8152182896931965,0.5606879087575477,1.4431803226895785,2.5739458621242313,3.064590577497955,5.465768977056974
