B,N,ms_fused,ms_kernel,ms_pytorch,ms_sparse_pytorch,speedup_fused_vs_kernel,speedup_fused_vs_pytorch,speedup_fused_vs_sparse_pytorch
256,512,0.02954298879779961,0.03185172054136908,0.2577582232299305,0.33275492165399634,1.0781482117253292,8.724852620501572,11.26341427170633
256,1024,0.030360275911616868,0.04662513697641136,0.2646609909534454,0.3748364210128784,1.535728367955016,8.717344721237437,12.346278475995447
256,8192,0.04898819136655047,0.3660180571429226,0.40117293345593963,0.4154696698906352,7.471556857533685,8.189176253807641,8.481016716496319
256,150000,0.5533524234216292,51.26451110839844,2.877122188436574,1.200202852487564,92.64351060650769,5.199439031360921,2.1689664699870024
1024,512,0.03367380369346955,0.06370673092400156,0.29453013141949974,0.4070233958509733,1.8918780754297853,8.746565552872745,12.087241452022495
1024,1024,0.03814976788017639,0.09842333053388903,0.3206627014865223,0.4167798862570808,2.5799195120406577,8.405364417777939,10.924834131786433
1024,8192,0.14056341997508345,1.171369930793499,0.7651966323978022,0.5364473040985025,8.333390941975788,5.443782120081046,3.816407598745066
1024,150000,2.1329366774172396,203.09400939941406,11.029507994651794,4.282726430892945,95.2180210269249,5.171043337304959,2.0079013485195785
4096,512,0.05892935056374016,0.18331818848195738,0.3907908159825537,0.43442239969968793,3.1108129773748936,6.631514045956776,7.371919010541286
4096,1024,0.09402517390668771,0.33078820820440324,0.5087653078530964,0.457105920612812,3.5180813229091545,5.410947799554237,4.86152698921304
4096,8192,0.5738204007738092,4.239100813865662,2.43634227550391,0.9681068301200867,7.387504536522477,4.245827217398422,1.687125150682293
4096,150000,9.952255990770128,814.5274658203125,44.495872497558594,13.945856094360352,81.8435002652381,4.4709332777236375,1.4012758622059107
